"","sample","phase","tab","rep","nominal_time","dw_g","time_h","Cd111_ppb","Cd114_ppb","Cu63_ppb","Cu65_ppb","Ni60_ppb","Ni62_ppb","clear"
"1","pre_labeling_0h_1","pre_labeling","background",0,"0",0.0691,NA,0.544917843633135,0.517200145280912,8.01569497338035,8.1029663429798,2.88703470929527,2.81048252640432,0
"2","pre_labeling-0h-2","pre_labeling","background",1,"0",0.0564,NA,0.662075888173594,0.627961530772951,8.12955342232806,8.19622828314117,2.18960625717274,2.14014977159544,0
"3","pre_labeling-0h-3","pre_labeling","background",2,"0",0.0723,NA,0.546349954987645,0.520574448056483,6.42162107522067,6.4755344949852,2.40279769779507,2.34136114454729,0
"4","pre_labeling-0h-4","pre_labeling","background",3,"0",0.067,NA,0.642756979836155,0.616431787211866,6.70166482721968,6.75441818145079,2.32764744036507,2.27007679480094,0
"5","pre_labeling-0h-5","pre_labeling","background",4,"0",0.0778,NA,0.61981289529271,0.598997990551137,5.48241616294515,5.52096964705769,2.53069399675015,2.46380434420565,0
"6","pre_labeling-0h-6","pre_labeling","background",5,"0",0.0896,NA,0.645364208764011,0.630291549466546,5.67780732979225,5.73311771566988,1.48057757505333,1.44608085854836,0
"7","pre_labeling-0h-7","pre_labeling","background",6,"0",0.0998,NA,0.4990307578885,0.483248108087334,5.33959313704564,5.39501212705402,1.79409138185906,1.74782729844199,0
"8","pre_labeling-0h-8","pre_labeling","background",7,"0",0.0816,NA,0.645768661894078,0.627458027564367,6.41049618329451,6.47541893363339,2.08381882945817,2.03086903310625,0
"9","pre_labeling-0h-9","pre_labeling","background",8,"0",0.0894,NA,0.512542960380267,0.493677161033778,6.52264507945808,6.59788403234918,1.65567468896394,1.61544907670821,0
"10","pre_labeling-0h-10","pre_labeling","background",9,"0",0.0867,NA,0.724183987508101,0.710209697405156,8.01867884450657,8.12703205152486,1.82484127103326,1.77949372793369,0
"11","pre_labeling_(1)_14d_1","pre_labeling","1",1,"14",0.0485,NA,0.352465515524126,4.2991619716317,14.3253503162661,101.528441248206,3.13135763366064,17.6207012264464,0
"12","pre_labeling_(1)_14d_2","pre_labeling","1",2,"14",0.0479,NA,0.578327895621469,7.04210232427978,8.818900645057,49.3155269548124,1.87901716070882,16.1514600778965,0
"13","pre_labeling_(1)_14d_3","pre_labeling","1",3,"14",0.079,NA,0.843399667060784,10.8639683255674,7.16411152511461,41.3394239210106,1.44044907875966,13.7236437322649,0
"14","pre_labeling_(1)_14d_4","pre_labeling","1",4,"14",0.0441,NA,0.545219135604643,5.83906220081937,6.24847688650335,20.882645806599,1.58780332145041,13.0914226312558,0
"15","pre_labeling_(1)_14d_5","pre_labeling","1",5,"14",0.0552,NA,0.421712186129441,4.98684660056428,5.7256199259868,31.4812943466945,3.36538156126458,12.0842735611433,0
"16","pre_labeling_(1)_14d_6","pre_labeling","1",6,"14",0.0986,NA,0.560197503360682,6.01226543870273,6.5868964846831,32.1913814885907,3.28908446271072,13.1118754533625,0
"17","pre_labeling_(1)_14d_7","pre_labeling","1",7,"14",0.0584,NA,0.479871229349128,4.4409019137794,4.85131758826565,22.3462799404608,1.75227752177219,11.4820811873205,0
"18","pre_labeling_(1)_14d_8","pre_labeling","1",8,"14",0.0531,NA,0.846820969427387,11.6841693899137,10.1301010899933,63.8277688975644,0.95021214193004,25.0132241423259,0
"19","pre_labeling_(1)_14d_9","pre_labeling","1",9,"14",0.0581,NA,0.578269202487342,6.25280127367887,6.02126222033135,28.1907688908159,2.67247460368282,13.1827576045654,0
"20","pre_labeling_(1)_14d_10","pre_labeling","1",10,"14",0.0522,NA,0.685899204381346,6.79837545139764,7.09624455016582,34.8527646822992,2.67512187246643,9.13495719404788,0
"21","ref_0.25d_1_1","ref","1",1,"6h",0.0482,NA,0.800041592567934,8.1977626507111,6.5426731736276,30.192027290982,2.65696078885208,8.88110333755625,0
