"","time","Cint","metals"
"1",0,0.955,"Cd"
"2",0.1,0.955668161143593,"Cd"
"3",0.2,0.956336322287186,"Cd"
"4",0.3,0.95700448343078,"Cd"
"5",0.4,0.957672644574373,"Cd"
"6",0.5,0.958340805717966,"Cd"
"7",0.6,0.95900896686156,"Cd"
"8",0.7,0.959677128005153,"Cd"
"9",0.8,0.960345289148746,"Cd"
"10",0.9,0.961013450292339,"Cd"
"11",1,0.961681611435933,"Cd"
"12",1.1,0.962349772579526,"Cd"
"13",1.2,0.963017933723119,"Cd"
"14",1.3,0.963686094866712,"Cd"
"15",1.4,0.964354256010306,"Cd"
"16",1.5,0.965022417153899,"Cd"
"17",1.6,0.965690578297492,"Cd"
"18",1.7,0.966358739441086,"Cd"
"19",1.8,0.967026900584679,"Cd"
"20",1.9,0.967695061728272,"Cd"
"21",2,0.968363222871865,"Cd"
"22",2.1,0.969031384015459,"Cd"
"23",2.2,0.969699545159052,"Cd"
"24",2.3,0.970367706302645,"Cd"
"25",2.4,0.971035867446238,"Cd"
"26",2.5,0.971704028589832,"Cd"
"27",2.6,0.972372189733425,"Cd"
"28",2.7,0.973040350877018,"Cd"
"29",2.8,0.973708512020611,"Cd"
"30",2.9,0.974376673164205,"Cd"
"31",3,0.975044834307798,"Cd"
"32",3.1,0.975712995451391,"Cd"
"33",3.2,0.976381156594985,"Cd"
"34",3.3,0.977049317738578,"Cd"
"35",3.4,0.977717478882171,"Cd"
"36",3.5,0.978385640025764,"Cd"
"37",3.6,0.979053801169358,"Cd"
"38",3.7,0.979721962312951,"Cd"
"39",3.8,0.980390123456544,"Cd"
"40",3.9,0.981058284600137,"Cd"
"41",4,0.981726445743731,"Cd"
"42",4.1,0.982394606887324,"Cd"
"43",4.2,0.983062768030917,"Cd"
"44",4.3,0.983730929174511,"Cd"
"45",4.4,0.984399090318104,"Cd"
"46",4.5,0.985067251461697,"Cd"
"47",4.6,0.98573541260529,"Cd"
"48",4.7,0.986403573748884,"Cd"
"49",4.8,0.987071734892477,"Cd"
"50",4.9,0.98773989603607,"Cd"
"51",5,0.988408057179663,"Cd"
"52",5.1,0.989076218323257,"Cd"
"53",5.2,0.98974437946685,"Cd"
"54",5.3,0.990412540610443,"Cd"
"55",5.4,0.991080701754037,"Cd"
"56",5.5,0.99174886289763,"Cd"
"57",5.6,0.992417024041223,"Cd"
"58",5.7,0.993085185184816,"Cd"
"59",5.8,0.99375334632841,"Cd"
"60",5.9,0.994421507472003,"Cd"
"61",6,0.995089668615596,"Cd"
"62",6.1,0.995757829759189,"Cd"
"63",6.2,0.996425990902783,"Cd"
"64",6.3,0.997094152046376,"Cd"
"65",6.4,0.997762313189969,"Cd"
"66",6.5,0.998430474333562,"Cd"
"67",6.6,0.999098635477156,"Cd"
"68",6.7,0.999766796620749,"Cd"
